#{"t_start": 1764344138.6677475, "env_id": "None"}
r,l,t
2666.508414,2145,14788.618819
3810.170868,3500,14964.996702
3313.171925,3500,15130.377365
4214.951671,3500,15301.239839
1489.007344,1636,15378.518566
2150.844064,1840,15466.186759
4253.705367,3500,15634.160935
3951.272514,3466,15794.418381
4092.421287,3500,15972.131116
116.372083,168,15981.904027
3759.505416,3500,16144.188202
406.928508,462,16167.949713
4099.000326,3364,16328.655782
3984.919349,3500,16491.097357
2634.00536,2396,16603.463062
1759.912021,1532,16682.601422
2575.09948,2228,16790.602268
4027.663198,3500,16970.066935
4788.740119,3500,17157.185225
930.611278,898,17198.195577
1995.719713,1308,17264.331623
1.659209,51,17267.630083
665.798485,597,17299.84003
1167.885905,879,17345.324714
3149.356527,3500,17516.733841
4445.622679,3500,17680.566857
3200.004571,3235,17830.130369
4454.537008,3500,18014.516073
74.252586,166,18024.793684
1150.927359,979,18080.569892
193.185984,328,18097.993
67.368817,262,18112.289208
2895.03957,2393,18226.558711
4001.178488,3500,18401.80791
2519.949161,2049,18517.650803
529.107414,495,18542.218959
5319.299601,3500,18722.320468
675.975555,702,18757.885462
810.202673,622,18786.459025
2723.039356,2184,18892.06391
1943.125546,1526,18967.832875
2381.06789,1986,19060.987908
3638.470761,3500,19228.868301
4418.432682,3500,19403.259709
232.67101,233,19415.445595
519.408289,849,19459.432546
375.332856,1071,19511.701996
2154.140732,1692,19592.224288
3154.868087,2591,19720.159663
134.395436,222,19733.753888
4223.089115,3500,19898.33518
4226.325912,3500,20073.193239
46.557899,101,20079.290356
413.291781,458,20100.797294
3470.067062,2809,20229.557001
4351.132521,3500,20385.685812
4190.882173,3500,20557.81991
90.194991,245,20569.961443
3654.818566,3500,20746.648744
4463.594981,3500,20917.123895
4715.702155,3500,21091.180646
2612.119939,1989,21188.96312
332.355555,342,21206.578234
613.97463,512,21230.7152
4025.436724,3500,21407.89673
870.474337,780,21447.057698
5209.360761,3335,21603.813897
3276.349977,2584,21731.410238
4775.90554,3079,21880.757334
4363.236761,3500,22045.211003
3619.651516,3500,22214.473449
3749.497532,3500,22385.102819
394.927763,505,22413.274891
2926.938413,2835,22543.461596
1150.428142,1246,22605.526617
3170.742581,2733,22743.503074
2359.321349,1919,22831.313377
821.906837,851,22875.16491
325.910394,417,22898.646023
4121.810603,3500,23060.859925
351.063149,396,23079.578527
4803.72081,3500,23247.848704
4774.418181,3500,23421.18578
362.461856,433,23442.109959
5579.50469,3500,23608.601151
425.31938,388,23628.062549
4323.337934,3500,23782.459417
1057.297955,812,23820.123987
264.200256,309,23835.666697
2361.601541,2044,23943.725102
4829.119076,3500,24111.309753
1772.61928,1357,24174.33662
518.338541,645,24206.005809
4430.093149,3500,24364.685083
5270.65203,3500,24551.590855
4210.383619,2976,24699.07851
87.880254,209,24710.190628
1162.09513,1367,24779.094015
1383.578162,1323,24841.625914
4762.190374,3500,25015.502996
2360.451158,2203,25131.763951
5210.518365,3500,25294.295334
1790.871484,2162,25404.75093
2165.682542,2247,25516.35177
4403.373482,3500,25682.305531
1531.792903,1757,25770.257009
754.642646,704,25804.804896
947.588694,934,25850.418466
529.037966,1334,25920.636945
1283.566604,1135,25976.234682
5620.858988,3500,26158.923285
4814.683609,3500,26337.766495
3238.340653,2358,26457.12206
4403.878537,3500,26634.12744
953.648605,1062,26683.977914
-49.227087,145,26693.545674
5120.441327,3500,26871.345764
2204.073459,1992,26963.039178
289.983098,364,26981.103736
1973.216709,1813,27067.989391
6242.139914,3500,27236.939641
2550.585865,2071,27341.705041
5134.540627,3500,27517.880725
308.196441,307,27533.095747
5424.524739,3500,27703.85792
4330.287202,3500,27881.432359
5483.978331,3500,28062.130656
1446.185411,768,28101.09669
3055.209443,2504,28226.478053
2412.963107,1991,28318.182779
4734.417929,3500,28488.595814
4146.087326,3500,28664.630133
483.173188,447,28687.878378
2806.470976,1954,28782.740943
5416.934805,3500,28983.963696
4821.435394,3500,29149.613584
1706.620311,1291,29222.57601
2884.009964,1932,29315.620705
1980.485842,1463,29384.266724
994.856236,932,29430.560855
5917.159148,3500,29597.307778
5678.184111,3500,29776.979708
4614.025509,3500,29958.261378
215.759514,309,29974.258508
5895.007373,3500,30136.880507
4688.039806,3130,30288.95585
5806.212312,3500,30458.18211
3804.708533,2353,30573.291455
3105.240193,2329,30697.37994
4851.993667,3500,30882.350517
1330.632009,1240,30940.293976
321.351034,300,30956.041906
1504.063753,839,30998.079435
